Zeit;Kanal A
(ms);(mV)

-24,04999908;-1,30474900
-24,04499908;-2,05032000
-24,03999908;-1,86392700
-24,03499908;-1,30474900
-24,02999908;-0,93196360
-24,02499908;-2,05032000
-24,01999908;-0,93196360
-24,01499908;-1,30474900
-24,00999908;-1,67753400
-24,00499908;-2,23671300
-23,99999908;-2,79650600
-23,99499908;-2,79650600
-23,98999908;-3,35568400
-23,98499908;-4,10125500
-23,97999908;-3,72846900
-23,97499908;-3,72846900
-23,96999908;-3,91486200
-23,96499908;-4,47404100
-23,95999908;-4,47404100
-23,95499908;-4,47404100
-23,94999908;-4,10125500
-23,94499908;-4,84682600
-23,93999908;-5,77940400
-23,93499908;-4,84682600
-23,92999908;-5,40661900
-23,92499908;-5,40661900
-23,91999908;-5,59301200
-23,91499908;-5,59301200
-23,90999908;-5,59301200
-23,90499908;-5,59301200
-23,89999908;-5,59301200
-23,89499908;-5,03321800
-23,88999908;-4,66043300
-23,88499908;-4,66043300
-23,87999908;-3,91486200
-23,87499908;-3,35568400
-23,86999908;-3,54207700
-23,86499908;-2,98289800
-23,85999908;-3,16929100
-23,85499908;-3,72846900
-23,84999908;-4,28764700
-23,84499908;-3,35568400
-23,83999908;-5,59301200
-23,83499908;-6,33858300
-23,82999908;-3,91486200
-23,82499908;-3,16929100
-23,81999908;-3,16929100
-23,81499908;-3,72846900
-23,80999908;-2,05032000
-23,80499908;-3,54207700
-23,79999908;-2,79650600
-23,79499908;-2,60949800
-23,78999908;-2,23671300
-23,78499908;-2,23671300
-23,77999908;-1,86392700
-23,77499908;-1,49114200
-23,76999908;-1,67753400
-23,76499908;-1,86392700
-23,75999908;-2,05032000
-23,75499908;-2,42310500
-23,74999908;-2,98289800
-23,74499908;-1,49114200
-23,73999908;-2,79650600
-23,73499908;-3,72846900
-23,72999908;-3,72846900
-23,72499908;-5,03321800
-23,71999908;-5,21961100
-23,71499908;-5,03321800
-23,70999908;-5,03321800
-23,70499908;-6,33858300
-23,69999908;-5,96579700
-23,69499908;-6,52497500
-23,68999909;-5,40661900
-23,68499909;-5,59301200
-23,67999909;-5,77940400
-23,67499909;-4,66043300
-23,66999909;-4,28764700
-23,66499909;-4,10125500
-23,65999909;-3,54207700
-23,65499909;-2,98289800
-23,64999909;-1,67753400
-23,64499909;-0,93196360
-23,63999909;-0,55917820
-23,63499909;-0,74557080
-23,62999909;0,18639270
-23,62499909;-2,05032000
-23,61999909;0,18639270
-23,61499909;0,74557080
-23,60999909;1,86392700
-23,60499909;1,30474900
-23,59999909;2,79650600
-23,59499909;2,42310500
-23,58999909;3,35568400
-23,58499909;3,35568400
-23,57999909;3,72846900
-23,57499909;4,28764700
-23,56999909;4,66043300
-23,56499909;4,84682600
-23,55999909;4,47404100
-23,55499909;5,40661900
-23,54999909;5,77940400
-23,54499909;5,59301200
-23,53999909;6,33858300
-23,53499909;6,33858300
-23,52999909;5,96579700
-23,52499909;6,15219000
-23,51999909;6,52497500
-23,51499909;6,15219000
-23,50999909;6,71136800
-23,50499909;5,77940400
-23,49999909;5,21961100
-23,49499909;5,77940400
-23,48999909;5,96579700
-23,48499909;5,40661900
-23,47999909;5,40661900
-23,47499909;5,77940400
-23,46999909;5,59301200
-23,46499909;5,21961100
-23,45999909;4,84682600
-23,45499909;5,40661900
-23,44999909;6,52497500
-23,44499909;5,59301200
-23,43999909;6,15219000
-23,43499909;5,40661900
-23,42999909;5,21961100
-23,42499909;4,84682600
-23,41999909;5,03321800
-23,41499909;5,21961100
-23,40999909;5,40661900
-23,40499909;6,52497500
-23,39999909;6,15219000
-23,39499909;6,15219000
-23,38999909;6,33858300
-23,38499909;7,27054500
-23,37999909;8,01673200
-23,37499909;7,27054500
-23,36999909;7,64333200
-23,36499909;7,64333200
-23,35999909;7,08415300
-23,35499909;7,45693900
-23,34999909;7,08415300
-23,34499909;6,52497500
-23,33999909;6,52497500
-23,33499909;6,15219000
-23,32999909;5,77940400
-23,32499909;4,84682600
-23,31999909;5,21961100
-23,31499909;4,28764700
-23,30999909;4,66043300
-23,30499909;3,91486200
-23,29999909;4,10125500
-23,29499910;3,16929100
-23,28999910;3,54207700
-23,28499910;2,79650600
-23,27999910;2,60949800
-23,27499910;2,60949800
-23,26999910;2,60949800
-23,26499910;2,42310500
-23,25999910;2,79650600
-23,25499910;3,16929100
-23,24999910;2,60949800
-23,24499910;2,98289800
-23,23999910;3,72846900
-23,23499910;3,35568400
-23,22999910;3,54207700
-23,22499910;4,84682600
-23,21999910;3,35568400
-23,21499910;3,35568400
-23,20999910;3,35568400
-23,20499910;3,16929100
-23,19999910;3,54207700
-23,19499910;2,98289800
-23,18999910;3,35568400
-23,18499910;2,42310500
-23,17999910;2,60949800
-23,17499910;3,54207700
-23,16999910;2,98289800
-23,16499910;2,98289800
-23,15999910;2,60949800
-23,15499910;2,98289800
-23,14999910;1,67753400
-23,14499910;2,60949800
-23,13999910;2,23671300
-23,13499910;2,05032000
-23,12999910;2,42310500
-23,12499910;1,67753400
-23,11999910;1,49114200
-23,11499910;1,67753400
-23,10999910;0,93196360
-23,10499910;0,55917820
-23,09999910;-0,74557080
-23,09499910;-1,67753400
-23,08999910;-2,79650600
-23,08499910;-2,23671300
-23,07999910;-3,91486200
-23,07499910;-4,28764700
-23,06999910;-3,72846900
-23,06499910;-3,16929100
-23,05999910;-3,35568400
-23,05499910;-1,86392700
-23,04999910;-0,74557080
-23,04499910;0,18639270
-23,03999910;3,16929100
-23,03499910;2,98289800
-23,02999910;3,72846900
-23,02499910;3,35568400
-23,01999910;4,47404100
-23,01499910;3,91486200
-23,00999910;1,86392700
-23,00499910;2,42310500
-22,99999910;0,37278540
-22,99499910;0,55917820
-22,98999910;1,30474900
-22,98499910;0,93196360
-22,97999910;0,93196360
-22,97499910;0,37278540
-22,96999910;0,74557080
-22,96499910;0,55917820
-22,95999910;6,52497500
-22,95499910;0,93196360
-22,94999910;0,55917820
-22,94499910;0,74557080
-22,93999910;0,37278540
-22,93499910;-0,37278540
-22,92999910;-0,18639270
-22,92499910;-1,11835600
-22,91999910;-1,86392700
-22,91499910;-1,30474900
-22,90999910;-1,30474900
-22,90499910;-2,23671300
-22,89999910;-3,54207700
-22,89499911;-3,54207700
-22,88999911;-3,54207700
-22,88499911;-3,91486200
-22,87999911;-3,72846900
-22,87499911;-3,72846900
-22,86999911;-4,10125500
-22,86499911;-4,47404100
-22,85999911;-3,54207700
-22,85499911;-4,47404100
-22,84999911;-4,66043300
-22,84499911;-4,66043300
-22,83999911;-4,47404100
-22,83499911;-5,03321800
-22,82999911;-5,40661900
-22,82499911;-4,47404100
-22,81999911;-5,03321800
-22,81499911;-6,15219000
-22,80999911;-6,15219000
-22,80499911;-5,77940400
-22,79999911;-5,21961100
-22,79499911;-4,84682600
-22,78999911;-4,10125500
-22,78499911;-3,72846900
-22,77999911;-2,79650600
-22,77499911;-2,60949800
-22,76999911;-1,86392700
-22,76499911;-1,49114200
-22,75999911;-1,30474900
-22,75499911;-0,93196360
-22,74999911;-0,55917820
-22,74499911;-0,93196360
-22,73999911;-1,30474900
-22,73499911;-1,86392700
-22,72999911;-2,60949800
-22,72499911;-2,60949800
-22,71999911;-3,35568400
-22,71499911;-3,72846900
-22,70999911;-3,91486200
-22,70499911;-3,54207700
-22,69999911;-3,72846900
-22,69499911;-3,35568400
-22,68999911;-4,10125500
-22,68499911;-4,66043300
-22,67999911;-4,66043300
