Zeit;Kanal A
(ms);(mV)

-25,00999905;-3,72846900
-25,00499905;-2,98289800
-24,99999905;-5,40661900
-24,99499905;-6,52497500
-24,98999905;-5,59301200
-24,98499905;-5,96579700
-24,97999905;-5,96579700
-24,97499905;-6,33858300
-24,96999905;-5,77940400
-24,96499905;-5,40661900
-24,95999905;-4,47404100
-24,95499905;-3,72846900
-24,94999905;-4,47404100
-24,94499905;-3,54207700
-24,93999905;-0,74557080
-24,93499905;-1,49114200
-24,92999905;-1,67753400
-24,92499905;-1,30474900
-24,91999905;1,49114200
-24,91499905;-0,93196360
-24,90999905;0,37278540
-24,90499905;0,00000000
-24,89999905;0,74557080
-24,89499905;0,74557080
-24,88999905;1,30474900
-24,88499905;2,05032000
-24,87999905;2,23671300
-24,87499906;2,42310500
-24,86999906;2,60949800
-24,86499906;2,98289800
-24,85999906;4,28764700
-24,85499906;6,33858300
-24,84999906;4,28764700
-24,84499906;4,84682600
-24,83999906;4,84682600
-24,83499906;6,15219000
-24,82999906;6,33858300
-24,82499906;7,27054500
-24,81999906;5,77940400
-24,81499906;6,52497500
-24,80999906;6,15219000
-24,80499906;5,96579700
-24,79999906;6,15219000
-24,79499906;6,71136800
-24,78999906;6,15219000
-24,78499906;5,77940400
-24,77999906;5,03321800
-24,77499906;5,40661900
-24,76999906;5,59301200
-24,76499906;5,21961100
-24,75999906;6,15219000
-24,75499906;5,40661900
-24,74999906;5,40661900
-24,74499906;5,77940400
-24,73999906;6,15219000
-24,73499906;5,59301200
-24,72999906;5,96579700
-24,72499906;5,77940400
-24,71999906;5,77940400
-24,71499906;5,40661900
-24,70999906;6,33858300
-24,70499906;5,59301200
-24,69999906;5,21961100
-24,69499906;5,77940400
-24,68999906;5,96579700
-24,68499906;6,33858300
-24,67999906;6,33858300
-24,67499906;6,71136800
-24,66999906;6,15219000
-24,66499906;7,27054500
-24,65999906;7,27054500
-24,65499906;7,08415300
-24,64999906;8,20312500
-24,64499906;7,45693900
-24,63999906;8,20312500
-24,63499906;7,64333200
-24,62999906;6,33858300
-24,62499906;7,08415300
-24,61999906;6,15219000
-24,61499906;6,15219000
-24,60999906;5,40661900
-24,60499906;5,21961100
-24,59999906;4,47404100
-24,59499906;3,72846900
-24,58999906;4,28764700
-24,58499906;3,35568400
-24,57999906;3,91486200
-24,57499906;2,60949800
-24,56999906;3,35568400
